B Vmin,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,4.166666666666666,0.0,0.0,4.166666666666666,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,2.083333333333333,0.0,0.0,4.166666666666666,4.166666666666666,8.333333333333332,6.25,6.25,4.166666666666666
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,8.333333333333332,6.25,16.666666666666664,6.25,8.333333333333332,18.75,20.833333333333336,27.083333333333332,31.25,31.25,22.916666666666664,25.0,56.25
3,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,2.083333333333333,6.25,16.666666666666664,8.333333333333332,8.333333333333332,10.416666666666668,14.583333333333334,22.916666666666664,29.166666666666668,43.75,39.58333333333333,50.0,54.166666666666664,45.83333333333333,64.58333333333334,47.91666666666667,52.083333333333336,60.416666666666664,54.166666666666664,54.166666666666664,52.083333333333336,62.5,56.25,39.58333333333333
4,0.0,0.0,0.0,4.166666666666666,6.25,2.083333333333333,4.166666666666666,6.25,2.083333333333333,8.333333333333332,6.25,20.833333333333336,16.666666666666664,20.833333333333336,25.0,29.166666666666668,27.083333333333332,22.916666666666664,16.666666666666664,16.666666666666664,22.916666666666664,22.916666666666664,29.166666666666668,14.583333333333334,8.333333333333332,12.5,6.25,6.25,8.333333333333332,6.25,0.0
5,0.0,0.0,0.0,4.166666666666666,8.333333333333332,8.333333333333332,8.333333333333332,10.416666666666668,12.5,10.416666666666668,14.583333333333334,22.916666666666664,22.916666666666664,18.75,22.916666666666664,16.666666666666664,16.666666666666664,29.166666666666668,12.5,18.75,8.333333333333332,4.166666666666666,10.416666666666668,12.5,10.416666666666668,0.0,0.0,2.083333333333333,0.0,2.083333333333333,0.0
6,0.0,2.083333333333333,18.75,31.25,56.25,56.25,68.75,77.08333333333334,64.58333333333334,54.166666666666664,68.75,45.83333333333333,50.0,43.75,27.083333333333332,22.916666666666664,12.5,8.333333333333332,12.5,4.166666666666666,4.166666666666666,2.083333333333333,2.083333333333333,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,20.833333333333336,22.916666666666664,20.833333333333336,16.666666666666664,14.583333333333334,2.083333333333333,2.083333333333333,6.25,4.166666666666666,0.0,2.083333333333333,0.0,2.083333333333333,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,29.166666666666668,31.25,22.916666666666664,6.25,10.416666666666668,8.333333333333332,2.083333333333333,8.333333333333332,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,20.833333333333336,18.75,14.583333333333334,6.25,2.083333333333333,4.166666666666666,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,4.166666666666666,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,20.833333333333336,8.333333333333332,2.083333333333333,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,100.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
